id,name,serving_size,calories,total_fat,protein,carbohydrate
0,Cornstarch,100 g,381,0.1g,0.26 g,91.27 g
1,"Nuts, pecans",100 g,691,72g,9.17 g,13.86 g
2,"Eggplant, raw",100 g,25,0.2g,0.98 g,5.88 g
3,"Teff, uncooked",100 g,367,2.4g,13.30 g,73.13 g
4,"Sherbet, orange",100 g,144,2g,1.10 g,30.40 g
5,"Cauliflower, raw",100 g,25,0.3g,1.92 g,4.97 g
6,"Taro leaves, raw",100 g,42,0.7g,4.98 g,6.70 g
7,"Lamb, raw, ground",100 g,282,23g,16.56 g,0.00 g
8,"Cheese, camembert",100 g,300,24g,19.80 g,0.46 g
9,Vegetarian fillets,100 g,290,18g,23.00 g,9.00 g
10,"PACE, Picante Sauce",100 g,25,0g,0.00 g,6.25 g
11,"Goji berries, dried",100 g,349,0.4g,14.26 g,77.06 g
12,"Mango nectar, canned",100 g,51,0.1g,0.11 g,13.12 g
13,"Crackers, rusk toast",100 g,407,7.2g,13.50 g,72.30 g
14,"Chicken, boiled, feet",100 g,215,15g,19.40 g,0.20 g
15,"Quail, raw, meat only",100 g,134,4.5g,21.76 g,0.00 g
16,"Pie, lemon, fried pies",100 g,316,16g,3.00 g,42.60 g
17,"Peppers, raw, jalapeno",100 g,29,0.4g,0.91 g,6.50 g
18,"Winged bean tuber, raw",100 g,148,0.9g,11.60 g,28.10 g
19,"Salami, turkey, cooked",100 g,172,9.2g,19.20 g,1.55 g
20,"Grapes, raw, muscadine",100 g,57,0.5g,0.81 g,13.93 g
21,"Nuts, raw, ginkgo nuts",100 g,182,1.7g,4.32 g,37.60 g
22,"Spices, ground, savory",100 g,272,5.9g,6.73 g,68.73 g
23,"Candies, sesame crunch",100 g,516,33g,11.60 g,50.30 g
24,"Cheese, low fat, cream",100 g,201,15g,7.85 g,8.13 g
25,"PACE, Green Taco Sauce",100 g,25,0g,0.00 g,6.25 g
26,"Syrup, Canadian, maple",100 g,270,0g,0.00 g,67.38 g
27,"Ostrich, raw, top loin",100 g,119,3g,21.67 g,0.00 g
28,"Chewing gum, sugarless",100 g,268,0.4g,0.00 g,94.80 g
29,"Nuts, dried, pine nuts",100 g,673,68g,13.69 g,13.08 g
30,"Pasta, unenriched, dry",100 g,371,1.5g,13.04 g,74.67 g
31,"McDONALD'S, Side Salad",100 g,20,0.2g,1.03 g,4.30 g
32,"Cookies, Marie biscuit",100 g,406,11g,7.05 g,70.54 g
33,"Broccoli, raw, chinese",100 g,30,0.8g,1.20 g,4.67 g
34,"McDONALD'S, Hash Brown",100 g,271,16g,2.48 g,28.56 g
35,"Agave, raw (Southwest)",100 g,68,0.2g,0.52 g,16.23 g
36,"Emu, raw, outside drum",100 g,103,0.5g,23.08 g,0.00 g
37,"Nuts, dried, beechnuts",100 g,576,50g,6.20 g,33.50 g
38,"Currants, dried, zante",100 g,283,0.3g,4.08 g,74.08 g
39,"Lentils, raw, sprouted",100 g,106,0.6g,8.96 g,22.14 g
40,"Gravy, mix, dry, onion",100 g,322,3g,9.00 g,67.64 g
41,"Pie, fruit, fried pies",100 g,316,16g,3.00 g,42.60 g
42,"Snacks, cakes, popcorn",100 g,384,3.1g,9.70 g,80.10 g
43,"Snack, Mixed Berry Bar",100 g,383,11g,13.16 g,58.84 g
44,"Fish, raw, sheepshead",100 g,108,2.4g,20.21 g,0.00 g
45,"Babyfood, pear, juice",100 g,47,0g,0.00 g,11.86 g
46,"Brussels sprouts, raw",100 g,43,0.3g,3.38 g,8.95 g
47,"Broccoli raab, cooked",100 g,33,0.5g,3.83 g,3.12 g
48,"Butter oil, anhydrous",100 g,876,99g,0.28 g,0.00 g
49,"Chicory, raw, witloof",100 g,17,0.1g,0.90 g,4.00 g
50,"KEEBLER, Waffle Cones",100 g,424,5.3g,6.50 g,87.70 g
51,"KEEBLER, Waffle Bowls",100 g,424,5.3g,6.50 g,87.70 g
52,"Broccoli, raw, leaves",100 g,28,0.4g,2.98 g,5.06 g
53,"Durian, raw or frozen",100 g,147,5.3g,1.47 g,27.09 g
54,"Tomatoes, raw, orange",100 g,16,0.2g,1.16 g,3.18 g
55,"Tomatoes, raw, yellow",100 g,15,0.3g,0.98 g,2.98 g
56,"Egg custards, dry mix",100 g,410,6.4g,6.90 g,82.80 g
57,"Peanut flour, low fat",100 g,428,22g,33.80 g,31.27 g
58,"Fish, smoked, haddock",100 g,116,1g,25.23 g,0.00 g
59,"DENNY'S, french fries",100 g,282,14g,3.41 g,35.20 g
60,"Ground turkey, cooked",100 g,203,10g,27.37 g,0.00 g
61,"MURRAY, Vanilla Wafer",100 g,461,17g,4.00 g,72.90 g
62,"WENDY'S, french fries",100 g,301,14g,3.73 g,39.73 g
63,"Bread, toasted, wheat",100 g,313,4.3g,12.96 g,55.77 g
64,"Danish pastry, cheese",100 g,374,22g,8.00 g,37.20 g
65,"Nuts, glazed, walnuts",100 g,500,36g,8.28 g,47.59 g
66,"Spices, garlic powder",100 g,331,0.7g,16.55 g,72.73 g
67,"Oil, soybean lecithin",100 g,763,100g,0.00 g,0.00 g
68,"Egg, fresh, raw, yolk",100 g,322,27g,15.86 g,3.59 g
69,"Fireweed, raw, leaves",100 g,103,2.8g,4.71 g,19.22 g
70,"Beef, pastrami, cured",100 g,147,5.8g,21.80 g,0.36 g
71,"Frankfurter, meatless",100 g,233,14g,19.61 g,7.70 g
72,"Emu, raw, flat fillet",100 g,102,0.7g,22.25 g,0.00 g
73,"Emu, raw, inside drum",100 g,108,1.5g,22.22 g,0.00 g
74,"Ice creams, chocolate",100 g,216,11g,3.80 g,28.20 g
75,"Snacks, potato sticks",100 g,522,34g,6.70 g,53.30 g
76,"USDA Commodity, salsa",100 g,36,0.2g,1.50 g,7.00 g
77,"Figs, uncooked, dried",100 g,249,0.9g,3.30 g,63.87 g
78,"Game meat, raw, horse",100 g,133,4.6g,21.39 g,0.00 g
79,"Syrup, fruit flavored",100 g,261,0g,0.00 g,65.10 g
